iter	Passed	Remaining
631	11202	6522
632	11217	6503
633	11235	6485
634	11253	6468
635	11270	6450
636	11287	6432
637	11303	6413
638	11319	6394
639	11337	6377
640	11356	6360
641	11375	6343
642	11390	6324
643	11409	6306
644	11428	6290
645	11446	6272
646	11462	6253
647	11478	6235
648	11494	6216
649	11512	6199
650	11530	6181
651	11547	6163
652	11563	6144
653	11579	6126
654	11596	6107
655	11613	6090
656	11629	6071
657	11644	6052
658	11662	6034
659	11679	6016
660	11696	5998
661	11712	5980
662	11730	5962
663	11748	5944
664	11763	5926
665	11779	5907
666	11796	5889
667	11813	5871
668	11832	5854
669	11849	5836
670	11868	5819
671	11887	5802
672	11905	5784
673	11925	5767
674	11941	5749
675	11958	5731
676	11977	5714
677	11994	5696
678	12011	5678
679	12029	5660
680	12045	5642
681	12062	5624
682	12079	5606
683	12095	5588
684	12112	5569
685	12132	5553
686	12150	5535
687	12167	5517
688	12184	5499
689	12201	5481
690	12218	5463
691	12236	5446
692	12253	5428
693	12270	5410
694	12287	5392
695	12301	5373
696	12319	5355
697	12340	5339
698	12357	5321
699	12373	5303
700	12389	5284
701	12406	5266
702	12423	5248
703	12440	5230
704	12457	5212
705	12478	5196
706	12498	5179
707	12515	5161
708	12533	5144
709	12549	5125
710	12566	5107
711	12583	5090
712	12602	5072
713	12619	5054
714	12637	5037
715	12653	5018
716	12672	5001
717	12690	4984
718	12708	4966
719	12725	4948
720	12748	4933
721	12769	4916
722	12790	4900
723	12807	4882
724	12824	4864
725	12843	4847
726	12861	4829
727	12880	4812
728	12898	4795
729	12914	4776
730	12931	4758
731	12947	4740
732	12964	4722
733	12980	4703
734	12997	4686
735	13016	4668
736	13033	4651
737	13051	4633
738	13067	4615
739	13084	4597
740	13101	4579
741	13118	4561
742	13134	4543
743	13153	4525
744	13171	4508
745	13185	4489
746	13203	4472
747	13219	4453
748	13238	4436
749	13255	4418
750	13270	4400
751	13289	4382
752	13307	4365
753	13326	4348
754	13343	4329
755	13361	4312
756	13376	4293
757	13393	4275
758	13411	4258
759	13429	4240
760	13446	4223
761	13462	4204
762	13478	4186
763	13495	4168
764	13514	4151
765	13532	4133
766	13549	4115
767	13568	4098
768	13586	4081
769	13602	4062
770	13620	4045
771	13638	4028
772	13656	4010
773	13672	3992
774	13691	3974
775	13710	3957
776	13728	3940
777	13748	3923
778	13766	3905
779	13784	3887
780	13800	3869
781	13817	3851
782	13833	3833
783	13848	3815
784	13864	3797
785	13882	3779
786	13901	3762
787	13920	3745
788	13937	3727
789	13954	3709
790	13971	3691
791	13990	3674
792	14006	3656
793	14024	3638
794	14041	3620
795	14059	3603
796	14075	3585
797	14091	3567
798	14108	3549
799	14125	3531
800	14143	3513
801	14158	3495
802	14174	3477
803	14189	3459
804	14205	3441
805	14223	3423
806	14241	3405
807	14259	3388
808	14275	3370
809	14293	3352
810	14311	3335
811	14328	3317
812	14347	3300
813	14363	3282
814	14382	3264
815	14400	3247
816	14415	3228
817	14432	3211
818	14450	3193
819	14465	3175
820	14482	3157
821	14499	3139
822	14520	3122
823	14536	3104
824	14556	3087
825	14576	3070
826	14595	3053
827	14613	3035
828	14632	3018
829	14651	3000
830	14670	2983
831	14688	2965
832	14705	2948
833	14721	2930
834	14738	2912
835	14754	2894
836	14770	2876
837	14789	2859
